fase,iteracion,abeja,accuracy,fitness,n_caracteristicas
exploradoras,19,2,0.5080416272469253,0.4673008865061845,11
exploradoras,19,5,0.609271523178808,0.5685307824380672,11
exploradoras,19,6,0.8202459791863765,0.7683941273345247,14
empleadas,20,1,0.5156102175969726,0.47857318055993553,10
empleadas,20,2,0.5307473982970672,0.48630295385262273,12
empleadas,20,3,0.7880794701986755,0.7362276183468237,14
empleadas,20,4,0.7199621570482497,0.679221416307509,11
empleadas,20,5,0.6140018921475875,0.5769648551105504,10
empleadas,20,6,0.826868495742668,0.7787203475945198,13
empleadas,20,7,0.45695364238410596,0.42732401275447635,8
empleadas,20,8,0.40586565752128667,0.3503101019657311,15
empleadas,20,9,0.5193945127719962,0.46383895721644064,15
empleadas,20,10,0.8495742667928098,0.7792038964224394,19
observadoras,20,9,0.5279091769157994,0.47976102876765125,13
observadoras,20,1,0.5099337748344371,0.4766004415011038,9
observadoras,20,3,0.7994323557237465,0.7475805038718947,14
observadoras,20,2,0.44181646168401134,0.4010757209432706,11
observadoras,20,5,0.6121097445600757,0.571369003819335,11
observadoras,20,3,0.5553453169347209,0.5071971687865727,13
observadoras,20,4,0.7218543046357616,0.6811135638950209,11
observadoras,20,4,0.7218543046357616,0.6811135638950209,11
observadoras,20,6,0.8164616840113529,0.7646098321595011,14
observadoras,20,5,0.6035950804162725,0.5702617470829392,9
exploradoras,20,9,0.759697256385998,0.7004379971267388,16
